tokens,count,source
Abdellah,4,"['CIA_12', 'CIA_39', 'CIA_docs.txt']"
Circle,4,"['FBI_02', 'FBI_11', 'FBI_docs.txt']"
721,4,"['FBI_02', 'FBI_docs.txt', 'NSA_02', 'NSA_docs.txt']"
Area,4,"['FBI_02', 'FBI_12', 'FBI_docs.txt']"
Two,4,"['FBI_02', 'FBI_41', 'FBI_docs.txt']"
Riduan,4,"['CIA_13', 'CIA_docs.txt', 'FBI_03', 'FBI_docs.txt']"
airline,4,"['CIA_13', 'CIA_docs.txt', 'FBI_04', 'FBI_docs.txt']"
IL,4,"['CIA_13', 'CIA_16', 'CIA_docs.txt']"
connecting,4,"['CIA_13', 'CIA_26', 'CIA_docs.txt']"
116,4,"['USCBP_01', 'USCBP_docs.txt']"
Uvalde,4,"['USCBP_01', 'USCBP_docs.txt']"
presented,4,"['USCBP_01', 'USCBP_docs.txt']"
KHZ,4,"['USCBP_01', 'USCBP_docs.txt']"
public,4,"['CIA_01', 'CIA_docs.txt', 'FBI_39', 'FBI_docs.txt']"
course,3,"['NSA_06', 'NSA_13', 'NSA_docs.txt']"
Longhorn,2,"['USCBP_01', 'USCBP_docs.txt']"
USPS,2,"['USCBP_02', 'USCBP_docs.txt']"
Igor,2,"['CIA_01', 'CIA_docs.txt']"
'm,2,"['NSA_16', 'NSA_docs.txt']"
give,2,"['NSA_16', 'NSA_docs.txt']"
guy,2,"['NSA_16', 'NSA_docs.txt']"
Where,2,"['NSA_16', 'NSA_docs.txt']"
anything,2,"['NSA_16', 'NSA_docs.txt']"
Your,2,"['NSA_17', 'NSA_docs.txt']"
tenth,2,"['NSA_17', 'NSA_docs.txt']"
Any,2,"['NSA_20', 'NSA_docs.txt']"
Six,2,"['NSA_20', 'NSA_docs.txt']"
well-entertained,2,"['NSA_20', 'NSA_docs.txt']"
packages,2,"['NSA_20', 'NSA_docs.txt']"
performed,2,"['USCBP_02', 'USCBP_docs.txt']"
avoid,2,"['NSA_17', 'NSA_docs.txt']"
believe,2,"['NSA_17', 'NSA_docs.txt']"
Zaragoza,2,"['NSA_21', 'NSA_docs.txt']"
decorative,2,"['USCBP_02', 'USCBP_docs.txt']"
clocks,2,"['USCBP_02', 'USCBP_docs.txt']"
instead,2,"['USCBP_02', 'USCBP_docs.txt']"
111,2,"['USCBP_02', 'USCBP_docs.txt']"
estimated,2,"['USCBP_02', 'USCBP_docs.txt']"
"47,000",2,"['USCBP_02', 'USCBP_docs.txt']"
rocks,2,"['NSA_18', 'NSA_docs.txt']"
NOvember,2,"['NSA_20', 'NSA_docs.txt']"
decision,2,"['USCBP_02', 'USCBP_docs.txt']"
pursue,2,"['USCBP_02', 'USCBP_docs.txt']"
violation,2,"['USCBP_02', 'USCBP_docs.txt']"
reason,2,"['USCBP_02', 'USCBP_docs.txt']"
resealed,2,"['USCBP_02', 'USCBP_docs.txt']"
assault,2,"['CIA_01', 'CIA_docs.txt']"
Lyons,2,"['USCBP_02', 'USCBP_docs.txt']"
form,2,"['USCBP_02', 'USCBP_docs.txt']"
reading,2,"['CIA_01', 'CIA_docs.txt']"
Q.,2,"['CIA_01', 'CIA_docs.txt']"
David,2,"['CIA_02', 'CIA_docs.txt']"
Loiseau,2,"['CIA_02', 'CIA_docs.txt']"
Kanjak,2,"['CIA_02', 'CIA_docs.txt']"
Training,2,"['CIA_02', 'CIA_docs.txt']"
Discussions,2,"['USCBP_02', 'USCBP_docs.txt']"
returning,2,"['CIA_26', 'CIA_docs.txt']"
freight,2,"['CIA_12', 'CIA_docs.txt']"
east,2,"['CIA_12', 'CIA_docs.txt']"
coast,2,"['CIA_12', 'CIA_docs.txt']"
keeping,2,"['CIA_12', 'CIA_docs.txt']"
visited,2,"['FBI_03', 'FBI_docs.txt']"
residences,2,"['FBI_03', 'FBI_docs.txt']"
CalNational,2,"['FBI_03', 'FBI_docs.txt']"
Bedfont,2,"['FBI_02', 'FBI_docs.txt']"
1000,2,"['FBI_03', 'FBI_docs.txt']"
BMI,2,"['FBI_03', 'FBI_docs.txt']"
private,2,"['FBI_03', 'FBI_docs.txt']"
investment,2,"['FBI_03', 'FBI_docs.txt']"
roundtrip,2,"['FBI_04', 'FBI_docs.txt']"
Hobby,2,"['FBI_04', 'FBI_docs.txt']"
Airline,2,"['FBI_04', 'FBI_docs.txt']"
docks,2,"['CIA_12', 'CIA_docs.txt']"
sorry,2,"['NSA_22', 'NSA_docs.txt']"
By,2,"['NSA_22', 'NSA_docs.txt']"
Quite,2,"['NSA_22', 'NSA_docs.txt']"
canisters,2,"['NSA_22', 'NSA_docs.txt']"
L-one,2,"['NSA_22', 'NSA_docs.txt']"
N-one,2,"['NSA_22', 'NSA_docs.txt']"
wonder,2,"['NSA_22', 'NSA_docs.txt']"
indicated,2,"['FBI_03', 'FBI_docs.txt']"
routine,2,"['USCBP_02', 'USCBP_docs.txt']"
Iraq,2,"['NSA_22', 'NSA_docs.txt']"
My,2,"['NSA_22', 'NSA_docs.txt']"
Israelis,2,"['NSA_22', 'NSA_docs.txt']"
bought,2,"['NSA_22', 'NSA_docs.txt']"
beach,2,"['NSA_22', 'NSA_docs.txt']"
ought,2,"['NSA_22', 'NSA_docs.txt']"
thinking,2,"['NSA_22', 'NSA_docs.txt']"
mid,2,"['CIA_13', 'CIA_docs.txt']"
1990s,2,"['CIA_13', 'CIA_docs.txt']"
formed,2,"['CIA_13', 'CIA_docs.txt']"
plan,2,"['CIA_13', 'CIA_docs.txt']"
synagogues,2,"['CIA_13', 'CIA_docs.txt']"
Trailways,2,"['FBI_05', 'FBI_docs.txt']"
depot,2,"['FBI_05', 'FBI_docs.txt']"
pub,2,"['FBI_01', 'FBI_docs.txt']"
matches,2,"['FBI_05', 'FBI_docs.txt']"
appearance,2,"['FBI_05', 'FBI_docs.txt']"
electronics,2,"['FBI_05', 'FBI_docs.txt']"
store,2,"['FBI_05', 'FBI_docs.txt']"
"2,000",2,"['FBI_05', 'FBI_docs.txt']"
jointly,2,"['FBI_05', 'FBI_docs.txt']"
succeeded,2,"['CIA_12', 'CIA_docs.txt']"
emigrated,2,"['CIA_13', 'CIA_docs.txt']"
controller,2,"['FBI_02', 'FBI_docs.txt']"
videocassette,2,"['FBI_02', 'FBI_docs.txt']"
sermon,2,"['FBI_02', 'FBI_docs.txt']"
Salafi,2,"['FBI_02', 'FBI_docs.txt']"
preacher,2,"['FBI_02', 'FBI_docs.txt']"
44,2,"['FBI_02', 'FBI_docs.txt']"
Northumberland,2,"['FBI_02', 'FBI_docs.txt']"
Examined,2,"['FBI_05', 'FBI_docs.txt']"
Street,2,"['FBI_02', 'FBI_docs.txt']"
Camden,2,"['FBI_02', 'FBI_docs.txt']"
CA.,2,"['FBI_03', 'FBI_docs.txt']"
life,2,"['CIA_12', 'CIA_docs.txt']"
interviews,2,"['CIA_12', 'CIA_docs.txt']"
clear,2,"['CIA_12', 'CIA_docs.txt']"
supervisor,2,"['CIA_12', 'CIA_docs.txt']"
air,2,"['FBI_02', 'FBI_docs.txt']"
team,2,"['FBI_06', 'FBI_docs.txt']"
acting,2,"['FBI_06', 'FBI_docs.txt']"
Thirty,2,"['FBI_06', 'FBI_docs.txt']"
plastic,2,"['FBI_06', 'FBI_docs.txt']"
Maps,2,"['FBI_06', 'FBI_docs.txt']"
Sears,2,"['FBI_06', 'FBI_docs.txt']"
Tower,2,"['FBI_06', 'FBI_docs.txt']"
Emirate,2,"['FBI_05', 'FBI_docs.txt']"
Other,2,"['CIA_11', 'CIA_docs.txt']"
stethoscope,2,"['CIA_11', 'CIA_docs.txt']"
Legionella,2,"['CIA_11', 'CIA_docs.txt']"
gastroenteritis,2,"['CIA_11', 'CIA_docs.txt']"
TOPOFF,2,"['CIA_11', 'CIA_docs.txt']"
opened,2,"['CIA_11', 'CIA_docs.txt']"
F.,2,"['CIA_11', 'CIA_docs.txt']"
arrival,2,"['FBI_06', 'FBI_docs.txt']"
surfaced,2,"['FBI_05', 'FBI_docs.txt']"
floor,2,"['FBI_05', 'FBI_docs.txt']"
Southern,2,"['FBI_05', 'FBI_docs.txt']"
uncle,2,"['FBI_01', 'FBI_docs.txt']"
175,2,"['FBI_01', 'FBI_docs.txt']"
Durocher,2,"['FBI_01', 'FBI_docs.txt']"
Irish,2,"['FBI_01', 'FBI_docs.txt']"
expired,2,"['CIA_11', 'CIA_docs.txt']"
operated,2,"['FBI_01', 'FBI_docs.txt']"
Patrick,2,"['FBI_01', 'FBI_docs.txt']"
Canadauto,2,"['FBI_01', 'FBI_docs.txt']"
Walden,2,"['FBI_01', 'FBI_docs.txt']"
Schiller,2,"['FBI_01', 'FBI_docs.txt']"
M4,2,"['FBI_02', 'FBI_docs.txt']"
Indonesian,2,"['CIA_13', 'CIA_docs.txt']"
identifying,2,"['FBI_05', 'FBI_docs.txt']"
1995,2,"['DIA_03', 'DIA_docs.txt']"
.The,2,"['FBI_01', 'FBI_docs.txt']"
purpose,2,"['FBI_01', 'FBI_docs.txt']"
funeral,2,"['FBI_01', 'FBI_docs.txt']"
confiscated,2,"['FBI_06', 'FBI_docs.txt']"
notepad,2,"['FBI_06', 'FBI_docs.txt']"
contain,2,"['DIA_03', 'DIA_docs.txt']"
controls,2,"['DIA_03', 'DIA_docs.txt']"
tomorrow,2,"['FBI_06', 'FBI_docs.txt']"
present,2,"['FBI_06', 'FBI_docs.txt']"
priest,2,"['FBI_07', 'FBI_docs.txt']"
CDG,2,"['FBI_07', 'FBI_docs.txt']"
Fr,2,"['FBI_07', 'FBI_docs.txt']"
Augustin,2,"['FBI_07', 'FBI_docs.txt']"
Dominique,2,"['FBI_07', 'FBI_docs.txt']"
BA,2,"['DIA_03', 'DIA_docs.txt']"
mass,2,"['CIA_12', 'CIA_docs.txt']"
casualties,2,"['CIA_12', 'CIA_docs.txt']"
bombers,2,"['CIA_12', 'CIA_docs.txt']"
participant,2,"['CIA_12', 'CIA_docs.txt']"
participants,2,"['CIA_12', 'CIA_docs.txt']"
even,2,"['CIA_12', 'CIA_docs.txt']"
duress,2,"['CIA_12', 'CIA_docs.txt']"
room,2,"['FBI_06', 'FBI_docs.txt']"
Dubai,2,"['FBI_05', 'FBI_docs.txt']"
UAE,2,"['FBI_05', 'FBI_docs.txt']"
envelopes,2,"['FBI_05', 'FBI_docs.txt']"
letters,2,"['FBI_05', 'FBI_docs.txt']"
Regarding,2,"['FBI_06', 'FBI_docs.txt']"
reporting,2,"['FBI_06', 'FBI_docs.txt']"
landed,2,"['FBI_06', 'FBI_docs.txt']"
causing,2,"['CIA_12', 'CIA_docs.txt']"
T21-23-8820,2,"['FBI_08', 'FBI_docs.txt']"
DOT,2,"['FBI_08', 'FBI_docs.txt']"
Ms,2,"['FBI_08', 'FBI_docs.txt']"
kindergarten,2,"['FBI_08', 'FBI_docs.txt']"
classes,2,"['FBI_08', 'FBI_docs.txt']"
exist,2,"['FBI_08', 'FBI_docs.txt']"
Herndon,2,"['FBI_08', 'FBI_docs.txt']"
Dulles,2,"['FBI_08', 'FBI_docs.txt']"
i,2,"['FBI_08', 'FBI_docs.txt']"
ii,2,"['FBI_08', 'FBI_docs.txt']"
iii,2,"['FBI_08', 'FBI_docs.txt']"
inciting,2,"['CIA_10', 'CIA_docs.txt']"
riot,2,"['CIA_10', 'CIA_docs.txt']"
one-year,2,"['CIA_10', 'CIA_docs.txt']"
Northern,2,"['FBI_08', 'FBI_docs.txt']"
illegally,2,"['FBI_08', 'FBI_docs.txt']"
deals,2,"['CIA_14', 'CIA_docs.txt']"
evaluator,2,"['CIA_14', 'CIA_docs.txt']"
tanzanites,2,"['CIA_14', 'CIA_docs.txt']"
missions,2,"['DIA_02', 'DIA_docs.txt']"
Americans,2,"['DIA_02', 'DIA_docs.txt']"
Feyzabad,2,"['DIA_03', 'DIA_docs.txt']"
Several,2,"['FBI_08', 'FBI_docs.txt']"
numbers,2,"['FBI_08', 'FBI_docs.txt']"
grid,2,"['DIA_03', 'DIA_docs.txt']"
pipelines,2,"['DIA_03', 'DIA_docs.txt']"
site,2,"['DIA_03', 'DIA_docs.txt']"
electromagnetic,2,"['DIA_03', 'DIA_docs.txt']"
bombs,2,"['DIA_03', 'DIA_docs.txt']"
Maryland,2,"['DIA_03', 'DIA_docs.txt']"
cabinet,2,"['CIA_11', 'CIA_docs.txt']"
rooms,2,"['CIA_11', 'CIA_docs.txt']"
notebook,2,"['CIA_13', 'CIA_docs.txt']"
Y.,2,"['CIA_13', 'CIA_docs.txt']"
Biographical,2,"['CIA_14', 'CIA_docs.txt']"
Unfortunately,2,"['CIA_11', 'CIA_docs.txt']"
apparently,2,"['CIA_11', 'CIA_docs.txt']"
tipped-off,2,"['CIA_11', 'CIA_docs.txt']"
Asadabad,2,"['DIA_02', 'DIA_docs.txt']"
Came,2,"['DIA_02', 'DIA_docs.txt']"
Suspicion,2,"['FBI_09', 'FBI_docs.txt']"
fell,2,"['FBI_09', 'FBI_docs.txt']"
attendance,2,"['FBI_09', 'FBI_docs.txt']"
Denton,2,"['FBI_09', 'FBI_docs.txt']"
Mineral,2,"['FBI_09', 'FBI_docs.txt']"
Wells,2,"['FBI_09', 'FBI_docs.txt']"
departure,2,"['CIA_13', 'CIA_docs.txt']"
date,2,"['CIA_13', 'CIA_docs.txt']"
answered,2,"['FBI_07', 'FBI_docs.txt']"
rather,2,"['FBI_07', 'FBI_docs.txt']"
CSIS,2,"['FBI_07', 'FBI_docs.txt']"
Abdal,2,"['FBI_07', 'FBI_docs.txt']"
folder,2,"['FBI_07', 'FBI_docs.txt']"
fixed,2,"['FBI_08', 'FBI_docs.txt']"
mess,2,"['CIA_11', 'CIA_docs.txt']"
national,2,"['FBI_09', 'FBI_docs.txt']"
International,2,"['FBI_08', 'FBI_docs.txt']"
board,2,"['FBI_08', 'FBI_docs.txt']"
Shadi,2,"['FBI_08', 'FBI_docs.txt']"
abu,2,"['FBI_08', 'FBI_docs.txt']"
Hoshar,2,"['FBI_08', 'FBI_docs.txt']"
fund-raising,2,"['FBI_08', 'FBI_docs.txt']"
question,2,"['FBI_07', 'FBI_docs.txt']"
mistakenly,2,"['FBI_07', 'FBI_docs.txt']"
elimination,2,"['FBI_09', 'FBI_docs.txt']"
Zioni,2,"['FBI_09', 'FBI_docs.txt']"
st,2,"['FBI_09', 'FBI_docs.txt']"
influence,2,"['FBI_09', 'FBI_docs.txt']"
big,2,"['FBI_09', 'FBI_docs.txt']"
Yemen,2,"['CIA_10', 'CIA_docs.txt']"
repeated,2,"['CIA_10', 'CIA_docs.txt']"
troubles,2,"['CIA_10', 'CIA_docs.txt']"
filed,2,"['FBI_10', 'FBI_docs.txt']"
Auto,2,"['FBI_10', 'FBI_docs.txt']"
injury,2,"['FBI_10', 'FBI_docs.txt']"
suffered,2,"['FBI_10', 'FBI_docs.txt']"
associates,2,"['CIA_10', 'CIA_docs.txt']"
Shopping,2,"['FBI_09', 'FBI_docs.txt']"
Mall,2,"['FBI_09', 'FBI_docs.txt']"
objectives,2,"['FBI_09', 'FBI_docs.txt']"
Very,2,"['DIA_01', 'DIA_docs.txt']"
talkative,2,"['DIA_01', 'DIA_docs.txt']"
cocktails,2,"['DIA_01', 'DIA_docs.txt']"
alcoholic,2,"['DIA_01', 'DIA_docs.txt']"
Kamal,2,"['DIA_02', 'DIA_docs.txt']"
graduate,2,"['FBI_10', 'FBI_docs.txt']"
visas,2,"['FBI_10', 'FBI_docs.txt']"
filing,2,"['FBI_10', 'FBI_docs.txt']"
Says,2,"['DIA_02', 'DIA_docs.txt']"
prominent,2,"['DIA_02', 'DIA_docs.txt']"
seeking,2,"['DIA_02', 'DIA_docs.txt']"
Sittah,2,"['DIA_02', 'DIA_docs.txt']"
Talat,2,"['DIA_02', 'DIA_docs.txt']"
Rushdi,2,"['DIA_02', 'DIA_docs.txt']"
suspended,2,"['CIA_10', 'CIA_docs.txt']"
sentence,2,"['CIA_10', 'CIA_docs.txt']"
Chechnya,2,"['DIA_01', 'DIA_docs.txt']"
Taliban/Al,2,"['DIA_01', 'DIA_docs.txt']"
Travel,2,"['CIA_10', 'CIA_docs.txt']"
struck,2,"['FBI_10', 'FBI_docs.txt']"
investigated,2,"['FBI_10', 'FBI_docs.txt']"
yesterday,2,"['CIA_43', 'CIA_docs.txt']"
departed,2,"['CIA_43', 'CIA_docs.txt']"
Abba,2,"['DIA_01', 'DIA_docs.txt']"
Farmer,2,"['FBI_10', 'FBI_docs.txt']"
companies,2,"['FBI_10', 'FBI_docs.txt']"
policies,2,"['FBI_10', 'FBI_docs.txt']"
Dell,2,"['FBI_10', 'FBI_docs.txt']"
CDs,2,"['FBI_10', 'FBI_docs.txt']"
Entered,2,"['DIA_01', 'DIA_docs.txt']"
fight,2,"['DIA_01', 'DIA_docs.txt']"
Russians,2,"['DIA_01', 'DIA_docs.txt']"
saw,2,"['FBI_09', 'FBI_docs.txt']"
Ship,2,"['FBI_09', 'FBI_docs.txt']"
Channel,2,"['FBI_09', 'FBI_docs.txt']"
chain,2,"['CIA_10', 'CIA_docs.txt']"
occasionally,2,"['CIA_10', 'CIA_docs.txt']"
handled,2,"['FBI_10', 'FBI_docs.txt']"
"11,000",2,"['FBI_10', 'FBI_docs.txt']"
settlement,2,"['FBI_10', 'FBI_docs.txt']"
law,2,"['CIA_10', 'CIA_docs.txt']"
plans,2,"['FBI_09', 'FBI_docs.txt']"
Reliant,2,"['FBI_09', 'FBI_docs.txt']"
Stadium,2,"['FBI_09', 'FBI_docs.txt']"
Galleria,2,"['FBI_09', 'FBI_docs.txt']"
developed,2,"['FBI_09', 'FBI_docs.txt']"
friendship,2,"['FBI_09', 'FBI_docs.txt']"
invited,2,"['FBI_09', 'FBI_docs.txt']"
interesting,2,"['FBI_11', 'FBI_docs.txt']"
9/11/01,2,"['FBI_11', 'FBI_docs.txt']"
attacks,2,"['FBI_11', 'FBI_docs.txt']"
matters,2,"['FBI_10', 'FBI_docs.txt']"
representing,2,"['CIA_09', 'CIA_docs.txt']"
rebel,2,"['CIA_09', 'CIA_docs.txt']"
Liberia,2,"['CIA_09', 'CIA_docs.txt']"
acquiring,2,"['CIA_09', 'CIA_docs.txt']"
file,2,"['FBI_11', 'FBI_docs.txt']"
photos,2,"['CIA_08', 'CIA_docs.txt']"
500,2,"['CIA_09', 'CIA_docs.txt']"
wshakur,2,"['FBI_10', 'FBI_docs.txt']"
today,2,"['FBI_10', 'FBI_docs.txt']"
subjects,2,"['FBI_11', 'FBI_docs.txt']"
Eight,2,"['FBI_11', 'FBI_docs.txt']"
J.T,2,"['FBI_11', 'FBI_docs.txt']"
Packet,2,"['CIA_42', 'CIA_docs.txt']"
translate,2,"['CIA_42', 'CIA_docs.txt']"
hotel,2,"['CIA_42', 'CIA_docs.txt']"
cleared,2,"['FBI_11', 'FBI_docs.txt']"
presently,2,"['FBI_11', 'FBI_docs.txt']"
entries,2,"['FBI_11', 'FBI_docs.txt']"
Martha,2,"['FBI_11', 'FBI_docs.txt']"
Mason,2,"['FBI_11', 'FBI_docs.txt']"
Captured,2,"['DIA_01', 'DIA_docs.txt']"
04,2,"['DIA_01', 'DIA_docs.txt']"
Baglan,2,"['DIA_01', 'DIA_docs.txt']"
footnote,2,"['CIA_15', 'CIA_docs.txt']"
story,2,"['CIA_15', 'CIA_docs.txt']"
recognize,2,"['CIA_41', 'CIA_docs.txt']"
owned,2,"['CIA_41', 'CIA_docs.txt']"
inter-island,2,"['CIA_42', 'CIA_docs.txt']"
chemicals,2,"['FBI_12', 'FBI_docs.txt']"
necessary,2,"['FBI_12', 'FBI_docs.txt']"
proceeding,2,"['FBI_12', 'FBI_docs.txt']"
Taliban,2,"['FBI_11', 'FBI_docs.txt']"
tip,2,"['FBI_12', 'FBI_docs.txt']"
anonymous,2,"['FBI_12', 'FBI_docs.txt']"
directed,2,"['FBI_12', 'FBI_docs.txt']"
2111,2,"['FBI_12', 'FBI_docs.txt']"
1988,2,"['CIA_40', 'CIA_docs.txt']"
clerk,2,"['CIA_40', 'CIA_docs.txt']"
attached,2,"['CIA_40', 'CIA_docs.txt']"
intended,2,"['FBI_12', 'FBI_docs.txt']"
buildings,2,"['FBI_12', 'FBI_docs.txt']"
picked,2,"['FBI_12', 'FBI_docs.txt']"
collector,2,"['FBI_12', 'FBI_docs.txt']"
Traces,2,"['FBI_12', 'FBI_docs.txt']"
Many,2,"['FBI_10', 'FBI_docs.txt']"
involve,2,"['FBI_10', 'FBI_docs.txt']"
academic,2,"['FBI_10', 'FBI_docs.txt']"
party,2,"['CIA_40', 'CIA_docs.txt']"
consular,2,"['CIA_40', 'CIA_docs.txt']"
foreign,2,"['CIA_40', 'CIA_docs.txt']"
embassies,2,"['CIA_40', 'CIA_docs.txt']"
entire,2,"['CIA_40', 'CIA_docs.txt']"
businessman,2,"['CIA_09', 'CIA_docs.txt']"
trading,2,"['CIA_09', 'CIA_docs.txt']"
purposes,2,"['CIA_09', 'CIA_docs.txt']"
"7,000",2,"['FBI_10', 'FBI_docs.txt']"
page,2,"['FBI_10', 'FBI_docs.txt']"
version,2,"['FBI_10', 'FBI_docs.txt']"
Encyclopedia,2,"['FBI_10', 'FBI_docs.txt']"
100,2,"['FBI_10', 'FBI_docs.txt']"
HMTD,2,"['FBI_12', 'FBI_docs.txt']"
cyclotrimethylene,2,"['FBI_12', 'FBI_docs.txt']"
trinitramine,2,"['FBI_12', 'FBI_docs.txt']"
supports,2,"['CIA_14', 'CIA_docs.txt']"
charities,2,"['CIA_14', 'CIA_docs.txt']"
clients,2,"['CIA_14', 'CIA_docs.txt']"
especially,2,"['CIA_14', 'CIA_docs.txt']"
volunteered,2,"['CIA_15', 'CIA_docs.txt']"
drawings,2,"['FBI_12', 'FBI_docs.txt']"
popular,2,"['FBI_12', 'FBI_docs.txt']"
casinos,2,"['FBI_12', 'FBI_docs.txt']"
previous,2,"['CIA_15', 'CIA_docs.txt']"
batches,2,"['FBI_12', 'FBI_docs.txt']"
hexamethylene,2,"['FBI_12', 'FBI_docs.txt']"
triperoxide,2,"['FBI_12', 'FBI_docs.txt']"
diamine,2,"['FBI_12', 'FBI_docs.txt']"
North,2,"['FBI_11', 'FBI_docs.txt']"
openly,2,"['FBI_11', 'FBI_docs.txt']"
supported,2,"['FBI_11', 'FBI_docs.txt']"
RDX,2,"['FBI_12', 'FBI_docs.txt']"
primary,2,"['FBI_12', 'FBI_docs.txt']"
urea,2,"['FBI_12', 'FBI_docs.txt']"
aluminum,2,"['FBI_12', 'FBI_docs.txt']"
sulfate,2,"['FBI_12', 'FBI_docs.txt']"
Troost,2,"['FBI_12', 'FBI_docs.txt']"
manufactured,2,"['FBI_12', 'FBI_docs.txt']"
terrorists,2,"['FBI_12', 'FBI_docs.txt']"
carats,2,"['CIA_09', 'CIA_docs.txt']"
traded,2,"['CIA_09', 'CIA_docs.txt']"
incarcerated,2,"['FBI_11', 'FBI_docs.txt']"
College,2,"['FBI_11', 'FBI_docs.txt']"
according,2,"['FBI_11', 'FBI_docs.txt']"
shot,2,"['CIA_08', 'CIA_docs.txt']"
attempting,2,"['CIA_08', 'CIA_docs.txt']"
desert,2,"['CIA_08', 'CIA_docs.txt']"
ski,2,"['FBI_13', 'FBI_docs.txt']"
masks,2,"['FBI_13', 'FBI_docs.txt']"
Apartment,2,"['FBI_13', 'FBI_docs.txt']"
neither,2,"['FBI_13', 'FBI_docs.txt']"
kind,2,"['FBI_13', 'FBI_docs.txt']"
agent,2,"['CIA_16', 'CIA_docs.txt']"
frequent,2,"['CIA_16', 'CIA_docs.txt']"
low,2,"['CIA_16', 'CIA_docs.txt']"
"42,010",2,"['FBI_13', 'FBI_docs.txt']"
arms,2,"['FBI_13', 'FBI_docs.txt']"
Ruth,2,"['FBI_13', 'FBI_docs.txt']"
Tucker,2,"['FBI_13', 'FBI_docs.txt']"
badly,2,"['CIA_08', 'CIA_docs.txt']"
son,2,"['CIA_40', 'CIA_docs.txt']"
extensively,2,"['CIA_14', 'CIA_docs.txt']"
prosperous,2,"['CIA_14', 'CIA_docs.txt']"
Parachinar,2,"['CIA_08', 'CIA_docs.txt']"
Afghanistan-Pakistan,2,"['CIA_08', 'CIA_docs.txt']"
hospital,2,"['CIA_08', 'CIA_docs.txt']"
recovery,2,"['CIA_08', 'CIA_docs.txt']"
encouraged,2,"['CIA_08', 'CIA_docs.txt']"
price,2,"['CIA_15', 'CIA_docs.txt']"
most,2,"['CIA_15', 'CIA_docs.txt']"
likely,2,"['CIA_15', 'CIA_docs.txt']"
sons,2,"['CIA_40', 'CIA_docs.txt']"
regret,2,"['CIA_40', 'CIA_docs.txt']"
watched,2,"['CIA_40', 'CIA_docs.txt']"
grow,2,"['CIA_40', 'CIA_docs.txt']"
fighting,2,"['CIA_40', 'CIA_docs.txt']"
Doman,2,"['FBI_13', 'FBI_docs.txt']"
Before,2,"['FBI_14', 'FBI_docs.txt']"
Brunswick,2,"['FBI_14', 'FBI_docs.txt']"
makes,2,"['CIA_38', 'CIA_docs.txt']"
track,2,"['CIA_39', 'CIA_docs.txt']"
visitor,2,"['CIA_39', 'CIA_docs.txt']"
uniform,2,"['CIA_39', 'CIA_docs.txt']"
Officer,2,"['CIA_39', 'CIA_docs.txt']"
Beirut,2,"['FBI_14', 'FBI_docs.txt']"
Lebanon,2,"['FBI_14', 'FBI_docs.txt']"
copy,2,"['FBI_14', 'FBI_docs.txt']"
boss,2,"['CIA_39', 'CIA_docs.txt']"
Later,2,"['CIA_39', 'CIA_docs.txt']"
placing,2,"['CIA_39', 'CIA_docs.txt']"
street,2,"['CIA_39', 'CIA_docs.txt']"
caused,2,"['FBI_13', 'FBI_docs.txt']"
FirstTex,2,"['FBI_13', 'FBI_docs.txt']"
435,2,"['FBI_13', 'FBI_docs.txt']"
Fielder,2,"['FBI_13', 'FBI_docs.txt']"
immigrants,2,"['FBI_14', 'FBI_docs.txt']"
1965,2,"['FBI_14', 'FBI_docs.txt']"
Rutgers,2,"['FBI_14', 'FBI_docs.txt']"
dropping,2,"['FBI_14', 'FBI_docs.txt']"
study,2,"['FBI_14', 'FBI_docs.txt']"
unemployed,2,"['FBI_13', 'FBI_docs.txt']"
banks,2,"['FBI_13', 'FBI_docs.txt']"
amounted,2,"['FBI_13', 'FBI_docs.txt']"
Argosy,2,"['FBI_12', 'FBI_docs.txt']"
Riverside,2,"['FBI_12', 'FBI_docs.txt']"
Isle,2,"['FBI_12', 'FBI_docs.txt']"
Capri,2,"['FBI_12', 'FBI_docs.txt']"
Harrah,2,"['FBI_12', 'FBI_docs.txt']"
drugs,2,"['FBI_15', 'FBI_docs.txt']"
action,2,"['FBI_15', 'FBI_docs.txt']"
prevent,2,"['FBI_15', 'FBI_docs.txt']"
Florida,2,"['FBI_15', 'FBI_docs.txt']"
informants,2,"['FBI_15', 'FBI_docs.txt']"
Coral,2,"['FBI_15', 'FBI_docs.txt']"
Gables,2,"['FBI_15', 'FBI_docs.txt']"
frequented,2,"['FBI_15', 'FBI_docs.txt']"
Ziyad,2,"['CIA_07', 'CIA_docs.txt']"
Maj.,2,"['CIA_17', 'CIA_docs.txt']"
Gen.,2,"['CIA_17', 'CIA_docs.txt']"
vice,2,"['FBI_15', 'FBI_docs.txt']"
Examples,2,"['FBI_15', 'FBI_docs.txt']"
easy,2,"['FBI_15', 'FBI_docs.txt']"
availability,2,"['FBI_15', 'FBI_docs.txt']"
sex,2,"['FBI_15', 'FBI_docs.txt']"
deck,2,"['CIA_38', 'CIA_docs.txt']"
hand,2,"['CIA_38', 'CIA_docs.txt']"
Freight,2,"['CIA_38', 'CIA_docs.txt']"
Muslims,2,"['FBI_15', 'FBI_docs.txt']"
Especially,2,"['FBI_15', 'FBI_docs.txt']"
singled,2,"['FBI_15', 'FBI_docs.txt']"
